repetition	body_site	temperature	pain	intensity	tolerance
1	Chest	48.0	1.0	82.83950617283949	0.0
2	Chest	48.0	1.0	75.24691358024694	1.0
3	Chest	48.5	1.0	70.37037037037038	1.0
4	Chest	48.5	1.0	70.86419753086419	1.0
5	Chest	48.5	1.0	70.37037037037038	1.0
6	Chest	48.5	1.0	71.66666666666667	1.0
7	Chest	48.5	1.0	71.35802469135803	1.0
1	Left Leg	48.0	1.0	94.93827160493828	-1.0
2	Left Leg	47.5	1.0	84.07407407407406	-1.0
3	Left Leg	47.0	1.0	75.30864197530866	1.0
4	Left Leg	47.0	1.0	80.61728395061728	1.0
5	Left Leg	47.0	1.0	76.41975308641976	1.0
6	Left Leg	47.0	1.0	81.11111111111113	1.0
7	Left Leg	47.0	1.0	82.71604938271605	1.0
1	Left Arm	48.0	1.0	81.66666666666667	-1.0
2	Left Arm	47.5	1.0	77.16049382716051	1.0
3	Left Arm	47.5	1.0	77.83950617283949	-1.0
4	Left Arm	47.0	1.0	81.9753086419753	-1.0
5	Left Arm	46.5	1.0	81.60493827160494	1.0
6	Left Arm	46.5	1.0	76.23456790123456	1.0
7	Left Arm	46.5	1.0	81.60493827160494	-1.0
1	Right Leg	48.0	1.0	75.18518518518519	1.0
2	Right Leg	48.5	1.0	75.8641975308642	1.0
3	Right Leg	48.5	1.0	77.71604938271605	1.0
4	Right Leg	48.5	1.0	73.58024691358024	1.0
5	Right Leg	48.5	1.0	75.0	1.0
6	Right Leg	48.5	1.0	81.54320987654322	-1.0
7	Right Leg	48.0	1.0	65.67901234567901	1.0
1	Right Arm	48.0	1.0	70.30864197530863	-1.0
2	Right Arm	47.5	1.0	68.64197530864197	1.0
3	Right Arm	47.5	1.0	66.85185185185185	1.0
4	Right Arm	47.5	1.0	64.44444444444444	1.0
5	Right Arm	47.5	1.0	73.8888888888889	1.0
6	Right Arm	47.5	1.0	65.55555555555556	1.0
7	Right Arm	47.5	1.0	71.91358024691358	1.0
1	Abdomen	48.0	1.0	73.20987654320987	-1.0
2	Abdomen	47.5	1.0	67.71604938271606	-1.0
3	Abdomen	47.0	1.0	58.641975308641975	1.0
4	Abdomen	47.0	1.0	57.77777777777778	1.0
5	Abdomen	47.0	1.0	63.88888888888889	1.0
6	Abdomen	47.0	1.0	63.76543209876543	1.0
7	Abdomen	47.0	1.0	66.97530864197532	1.0
1	Right Face	48.0	1.0	80.37037037037038	-1.0
2	Right Face	47.5	1.0	75.92592592592592	-1.0
3	Right Face	47.0	1.0	67.34567901234567	1.0
4	Right Face	47.0	1.0	69.93827160493828	1.0
5	Right Face	47.0	1.0	68.14814814814815	1.0
6	Right Face	47.0	1.0	66.66666666666666	1.0
7	Right Face	47.0	1.0	56.049382716049394	1.0
1	Left Face	48.0	1.0	85.37037037037038	-1.0
2	Left Face	47.5	1.0	72.16049382716051	-1.0
3	Left Face	47.0	1.0	69.62962962962963	-1.0
4	Left Face	46.5	1.0	67.77777777777777	1.0
5	Left Face	46.5	1.0	69.07407407407406	1.0
6	Left Face	46.5	1.0	74.81481481481481	-1.0
7	Left Face	46.0	1.0	59.07407407407407	1.0
