runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,68.86713290028274,None,space,117.77711639972404,68.86713290028274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,0,0,0,,,,,,,186.7323226002045,186.7323226002045,None,space,1.895479999948293,186.7323226002045,None,188.64919049991295,space,2.115185699891299,188.64919049991295,None,207.8824899001047,209.8824855000712,207.8824899001047,209.8824855000712,209.86583540029824,None,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,233.86634830012918,235.8660968001932,233.86634830012918,235.8660968001932,235.84936860017478,233.86634830012918,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,298.85015999991447,300.8498594001867,298.85015999991447,300.8498594001867,300.8332163002342,298.85015999991447,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,350.8339118002914,352.83360669994727,350.8339118002914,352.83360669994727,352.8169432003051,350.8339118002914,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,376.8174697998911,378.81713950028643,376.8174697998911,378.81713950028643,378.8004582999274,376.8174697998911,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,415.8010722002946,417.8007904002443,415.8010722002946,417.8007904002443,417.78411909984425,415.8010722002946,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,467.7848534998484,469.78453500010073,467.7848534998484,469.78453500010073,469.7678664000705,467.7848534998484,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,532.7686903001741,534.7684737001546,532.7686903001741,534.7684737001546,534.751715300139,532.7686903001741,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,31,31,31,,,,,,,,,,,,,,,,,,,610.7526511000469,612.7523198002018,610.7526511000469,612.7523198002018,612.7356706000865,610.7526511000469,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,33,33,33,,,,,,,,,,,,,,,,,,,636.7361826002598,638.736199399922,636.7361826002598,638.736199399922,638.7191985002719,636.7361826002598,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,34,34,34,,,,,,,,,,,,,,,,,,,649.719597000163,651.7192990002222,649.719597000163,651.7192990002222,651.7026587999426,649.719597000163,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,3,0,0,0,0,0,39,39,39,,,,,,,,,,,,,,,,,,,714.7034503002651,716.7031471999362,714.7034503002651,716.7031471999362,716.6864964002743,714.7034503002651,,,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.049382716049394,729.3810885506682,,,,,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01356164924800396,None,20.246913580246915,732.2639396502636,,,,,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
stimuli/orders/stimOrder1.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014060149900615215,None,41.97530864197531,735.0970286508091,,,3,F,1,022,L,MCK,2021_Dec_14_1353,2020.2.5,bodymapST1,59.975553973554256,['Left Leg'],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014332849532365799,None,,,,,,,,,,,,
