	onset	duration	bodySite	intensity	temperature	condition	posttrial-jitter
0	52.72978380008135	5.0120494201546535	Left Face	50.0	46	1back	5.0
1	95.26283100002911	5.013287519919686	Left Face	50.0	46	1back	7.5
2	132.79686790006235	5.012390320072882	Left Face	50.0	46	1back	7.5
3	175.33091210003477	5.011659020092338	Left Face	50.0	46	1back	10.0
4	213.030964900041	5.012123220018111	Left Face	50.0	46	2back	7.5
5	250.69798020005692	5.011945720179938	Left Face	50.0	46	2back	5.0
6	293.3650471000001	5.011898820055649	Left Face	50.0	46	2back	7.5
7	336.0321004000725	5.011766220093705	Left Face	50.0	46	2back	7.5
8	381.19911330007017	5.011800620006397	Left Face	50.0	46	2back	10.0
9	426.3661818000255	5.011566319968551	Left Face	50.0	46	2back	10.0
10	471.53320760000497	5.011596820084378	Left Face	50.0	46	2back	10.0
11	511.7002545000287	5.0115070200990885	Left Face	50.0	46	2back	5.0
12	554.2673457000637	5.011302320053801	Left Face	50.0	46	2back	7.5
13	596.8013671999797	5.0105605201097205	Left Face	50.0	46	2back	7.5
14	634.3344071999891	5.011737420107238	Left Face	50.0	46	2back	5.0
15	674.3685041000135	5.010860320064239	Left Face	50.0	46	2back	10.0
