	repetition	body_site	temperature	pain	intensity	tolerance
0	1	Left Arm	48.0	1.0	41.111111111111114	-1.0
1	2	Left Arm	47.5	1.0	36.97530864197531	-1.0
2	3	Left Arm	47.0	1.0	36.358024691358025	-1.0
3	4	Left Arm	46.5	1.0	34.444444444444436	-1.0
4	5	Left Arm	46.0	1.0	34.01234567901235	1.0
5	6	Left Arm	46.0	1.0	32.59259259259259	1.0
6	7	Left Arm	46.0	1.0	33.20987654320987	1.0
7	1	Left Face	48.0	1.0	45.49382716049382	-1.0
8	2	Left Face	47.5	1.0	41.72839506172839	-1.0
9	3	Left Face	47.0	1.0	41.72839506172839	-1.0
10	4	Left Face	46.5	1.0	38.148148148148145	-1.0
11	5	Left Face	46.0	1.0	33.641975308641975	1.0
12	6	Left Face	46.0	1.0	31.296296296296294	1.0
13	7	Left Face	46.0	1.0	28.456790123456795	1.0
14	1	Chest	48.0	1.0	58.395061728395056	-1.0
15	2	Chest	47.5	1.0	52.83950617283951	-1.0
16	3	Chest	47.0	1.0	52.716049382716044	-1.0
17	4	Chest	46.5	1.0	50.55555555555556	-1.0
18	5	Chest	46.0	1.0	49.19753086419753	-1.0
19	6	Chest	45.5	1.0	25.0	1.0
20	7	Chest	45.5	1.0	23.271604938271608	0.0
21	1	Right Leg	48.0	1.0	62.53086419753087	-1.0
22	2	Right Leg	47.5	1.0	51.11111111111112	-1.0
23	3	Right Leg	47.0	1.0	51.04938271604939	-1.0
24	4	Right Leg	46.5	1.0	50.123456790123456	-1.0
25	5	Right Leg	46.0	1.0	45.98765432098765	-1.0
26	6	Right Leg	45.5	-1.0		1.0
27	7	Right Leg	45.5	-1.0		1.0
28	1	Right Face	48.0	1.0	45.24691358024691	-1.0
29	2	Right Face	47.5	1.0	49.382716049382715	-1.0
30	3	Right Face	47.0	1.0	45.98765432098765	-1.0
31	4	Right Face	46.5	1.0	41.66666666666667	-1.0
32	5	Right Face	46.0	-1.0		1.0
33	6	Right Face	46.0	1.0	37.28395061728395	1.0
34	7	Right Face	46.0	1.0	36.851851851851855	1.0
35	1	Right Arm	48.0	1.0	59.62962962962962	-1.0
36	2	Right Arm	47.5	1.0	56.54320987654321	-1.0
37	3	Right Arm	47.0	1.0	51.11111111111112	-1.0
38	4	Right Arm	46.5	1.0	50.864197530864196	-1.0
39	5	Right Arm	46.0	1.0	48.02469135802469	-1.0
40	6	Right Arm	45.5	1.0	34.50617283950617	1.0
41	7	Right Arm	45.5	1.0	36.04938271604938	-1.0
42	1	Left Leg	48.0	1.0	62.65432098765432	-1.0
43	2	Left Leg	47.5	1.0	54.93827160493827	-1.0
44	3	Left Leg	47.0	1.0	56.41975308641975	-1.0
45	4	Left Leg	46.5	1.0	50.864197530864196	-1.0
46	5	Left Leg	46.0	1.0	46.60493827160494	-1.0
47	6	Left Leg	45.5	-1.0		1.0
48	7	Left Leg	45.5	-1.0		1.0
49	1	Abdomen	48.0	1.0	48.333333333333336	-1.0
50	2	Abdomen	47.5	1.0	45.370370370370374	-1.0
51	3	Abdomen	47.0	1.0	30.74074074074074	1.0
52	4	Abdomen	47.0	1.0	35.0	1.0
53	5	Abdomen	47.0	1.0	29.938271604938272	1.0
54	6	Abdomen	47.0	-1.0		1.0
55	7	Abdomen	47.0	1.0	31.728395061728392	-1.0
