runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,28.46954200003529,None,space,0.4401957999798469,28.46954200003529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,0,0,0,,,,,,,29.033255000016652,29.033255000016652,None,space,355.9005790000083,29.033255000016652,None,384.96948800003156,space,68.54046200000448,384.96948800003156,None,465.51980410004035,None,465.51980410004035,None,,,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,5,5,5,,,,,,,,,,,,,,,,,,,530.5203807000071,None,530.5203807000071,None,517.520222000021,517.520222000021,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,10,10,10,,,,,,,,,,,,,,,,,,,595.5207853000029,None,595.5207853000029,None,582.5206841999898,582.5206841999898,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,14,14,14,,,,,,,,,,,,,,,,,,,647.5212330000359,None,647.5212330000359,None,634.5210577000398,634.5210577000398,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,16,16,16,,,,,,,,,,,,,,,,,,,673.5214373000199,None,673.5214373000199,None,660.5213511000038,None,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,18,18,18,,,,,,,,,,,,,,,,,,,699.5216564000002,None,699.5216564000002,None,686.5215764000313,None,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,19,19,19,,,,,,,,,,,,,,,,,,,712.5215718999971,712.5215718999971,712.5215718999971,712.5215718999971,,,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,21,21,21,,,,,,,,,,,,,,,,,,,738.5219140000409,None,738.5219140000409,None,725.5218649000162,None,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,22,22,22,,,,,,,,,,,,,,,,,,,751.5219333000132,751.5219333000132,751.5219333000132,751.5219333000132,,,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,3,0,24,24,24,,,,,,,,,,,,,,,,,,,777.5222165000159,None,777.5222165000159,None,764.5221555000171,None,,,,,,,,,,,,,1,M,2,4,r,CIB,2021_May_11_1141,2020.2.5,bodymap2,60.01558004443922,"['Left Leg', 'Left Face', 'Abdomen', 'Right Arm']",
