	repetition	body_site	temperature	pain	intensity	tolerance
0	1	Right Arm	48.0	-1.0		1.0
1	2	Right Arm	48.5	1.0	51.358024691358025	1.0
2	3	Right Arm	48.5	1.0	49.074074074074076	-1.0
3	4	Right Arm	48.0	1.0	38.2716049382716	-1.0
4	5	Right Arm	47.5	1.0	33.51851851851852	1.0
5	6	Right Arm	47.5	1.0	36.91358024691358	1.0
6	7	Right Arm	47.5	1.0	37.22222222222222	1.0
7	1	Left Leg	48.0	1.0	48.148148148148145	-1.0
8	2	Left Leg	47.5	1.0	35.18518518518518	1.0
9	3	Left Leg	47.5	1.0	37.160493827160494	-1.0
10	4	Left Leg	47.0	1.0	36.97530864197531	-1.0
11	5	Left Leg	46.5	1.0	31.296296296296294	-1.0
12	6	Left Leg	46.0	1.0	23.88888888888889	0.0
13	7	Left Leg	46.0	1.0	23.209876543209877	1.0
14	1	Left Face	48.0	-1.0		1.0
15	2	Left Face	48.5	1.0	41.111111111111114	-1.0
16	3	Left Face	48.0	1.0	34.75308641975308	1.0
17	4	Left Face	48.0	1.0	35.123456790123456	-1.0
18	5	Left Face	47.5	1.0	29.876543209876544	1.0
19	6	Left Face	47.5	1.0	32.34567901234568	-1.0
20	7	Left Face	47.0	1.0	24.19753086419753	-1.0
21	1	Right Face	48.0	1.0	45.55555555555556	-1.0
22	2	Right Face	47.5	1.0	36.358024691358025	-1.0
23	3	Right Face	47.0	-1.0		1.0
24	4	Right Face	47.0	-1.0		1.0
25	5	Right Face	47.0	1.0	34.75308641975308	-1.0
26	6	Right Face	46.5	-1.0		1.0
27	7	Right Face	46.5	-1.0		1.0
28	1	Abdomen	48.0	1.0	60.30864197530864	-1.0
29	2	Abdomen	47.5	1.0	53.888888888888886	-1.0
30	3	Abdomen	47.0	1.0	46.85185185185185	0.0
31	4	Abdomen	47.0	1.0	40.49382716049383	-1.0
32	5	Abdomen	46.5	1.0	41.111111111111114	-1.0
33	6	Abdomen	46.0	1.0	35.925925925925924	-1.0
34	7	Abdomen	45.5	-1.0		1.0
35	1	Chest	48.0	1.0	67.5925925925926	-1.0
36	2	Chest	47.5	1.0	63.20987654320987	-1.0
37	3	Chest	47.0	1.0	49.382716049382715	-1.0
38	4	Chest	46.5	-1.0		1.0
39	5	Chest	46.5	-1.0		1.0
40	6	Chest	46.5	-1.0		1.0
41	7	Chest	46.5	-1.0		1.0
42	1	Left Arm	48.0	1.0	60.98765432098765	-1.0
43	2	Left Arm	47.5	1.0	60.864197530864196	-1.0
44	3	Left Arm	47.0	1.0	50.0	-1.0
45	4	Left Arm	46.5	-1.0		1.0
46	5	Left Arm	46.5	1.0	47.28395061728395	-1.0
47	6	Left Arm	46.0	1.0	43.20987654320987	-1.0
48	7	Left Arm	45.5	-1.0		1.0
49	1	Right Leg	48.0	1.0	71.66666666666667	-1.0
50	2	Right Leg	47.5	1.0	51.17283950617284	0.0
51	3	Right Leg	47.5	1.0	50.0	-1.0
52	4	Right Leg	47.0	1.0	47.03703703703704	-1.0
53	5	Right Leg	46.5	1.0	34.444444444444436	1.0
54	6	Right Leg	46.5	1.0	35.61728395061728	1.0
55	7	Right Leg	46.5	1.0	37.96296296296296	-1.0
