	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	38.33433350000996	2.0049261099193245	[0.47985850006807595, 0.0, 0.0]	0	1	Abdomen	46.5	1back	7.5	5.0
1	78.38565920002293	2.002873510122299	[0.0, 0.0, 0.6800615999381989]	2	1	Abdomen	46.5	1back	10.0	5.0
2	118.4357069999678	2.003366510034539	[0.5653728999895975, 0.0, 0.0]	0	1	Abdomen	46.5	1back	10.0	10.0
3	158.48549770005047	2.0044022100046277	[0.49637930002063513, 0.0, 0.0]	0	1	Abdomen	46.5	1back	5.0	5.0
4	203.68429850006942	2.0075140099506825	[0.8837230999488384, 0.0, 0.0]	0	1	Abdomen	46.5	2back	5.0	7.5
5	243.86797410005238	2.007425910094753	[0.0, 0.0, 0.6170081999152899]	2	1	Abdomen	46.5	2back	7.5	10.0
6	284.05181269999593	2.007038710056804	[0.7336874000029638, 0.0, 0.0]	0	1	Abdomen	46.5	2back	5.0	7.5
7	324.23521850002	2.007482510060072	[0.48367300000973046, 0.0, 0.0]	0	1	Abdomen	46.5	2back	7.5	10.0
8	364.4188434999669	2.0075544100254774	[0.6534067000029609, 0.0, 0.0]	0	0	Abdomen	46.5	2back	5.0	10.0
9	404.6025025000563	2.0074999099597335	[0.0, 0.0, 0.6669701999053359]	2	1	Abdomen	46.5	2back	5.0	7.5
10	444.78615150006954	2.0074818099383265	[0.7503490999806672, 0.0, 0.0]	0	1	Abdomen	46.5	2back	7.5	10.0
11	484.969526699977	2.007508010021411	[0.5503458000021055, 0.0, 0.0]	0	1	Abdomen	46.5	2back	5.0	7.5
12	535.0718542999821	2.004035510122776	[0.6995246999431401, 0.0, 0.0]	0	1	Abdomen	46.5	1back	7.5	5.0
13	575.122880000039	2.0027930099749938	[0.0, 0.0, 0.5132259000092745]	2	1	Abdomen	46.5	1back	10.0	5.0
14	615.1729597999947	2.0031897100852802	[0.5827956000575796, 0.0, 0.0]	0	1	Abdomen	46.5	1back	10.0	5.0
15	655.2231769000646	2.003386210068129	[0.0, 0.0, 0.5463312999345362]	2	1	Abdomen	46.5	1back	10.0	10.0
