	onset	duration	bodySite	intensity	temperature	condition	posttrial-jitter
0	50.318506599985994	5.012175009935163	Right Leg	23.51851851851852	47.0	1back	10.0
1	90.36848089995328	5.012874209904112	Right Leg	22.71604938271605	47.0	1back	10.0
2	125.41961690003518	5.011220610118471	Right Leg	22.1604938271605	47.0	1back	5.0
3	167.96955109992996	5.011949309962802	Right Leg	19.259259259259256	47.0	1back	7.5
4	218.16966350004077	5.012537810020149	Right Leg	18.580246913580247	47.0	2back	7.5
5	258.3536879000021	5.011833610013127	Right Leg	12.962962962962962	47.0	2back	7.5
6	296.0376921999268	5.011071910033934	Right Leg	12.160493827160497	47.0	2back	5.0
7	341.2209120999323	5.012105009984225	Right Leg	14.50617283950617	47.0	2back	10.0
8	378.9048414999852	5.011425209930167	Right Leg	19.876543209876544	47.0	2back	7.5
9	416.5888074999675	5.010785810067318	Right Leg	19.938271604938272	47.0	2back	5.0
10	459.27187729999423	5.011970710125752	Right Leg	14.691358024691356	47.0	2back	7.5
11	496.9559715000214	5.011059410055168	Right Leg	14.567901234567904	47.0	2back	5.0
12	542.0400382999796	5.010312110069208	Right Leg	22.901234567901234	47.0	2back	5.0
13	587.0899273999967	5.011236510006711	Right Leg	23.703703703703706	47.0	2back	10.0
14	627.1400477000279	5.011677210102789	Right Leg	37.22222222222222	47.0	2back	10.0
15	667.191075699986	5.010311310063116	Right Leg	36.7283950617284	47.0	2back	10.0
