	biopac_channel	condition	duration	onset	correct	mouseclick	rt	score	keys	value	SID	date	gender	session	handedness	scanner	body_site
0	187.0	pretrialfixation	1.0027297000051476	747.4068658999968							1651	2022_Sep_07_2256	M	99	r	MS	Left Face
1		0-back	1.9725141000089934	782.9864710999973	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
2		0-back	1.958584999993036	784.9952107999998	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
3		0-back	1.9707576499931747	786.9791015999945	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
4		0-back	1.9740056500013452	788.9751999	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
5		0-back	1.9670991499951924	790.976888899997	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
6		0-back	1.9727876499964623	792.9729938999953	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
7		0-back	1.9739951499941526	794.9701831999992	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
8		0-back	1.9674984500088613	796.9716814999992	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
9		0-back	1.9878745499954675	798.9688926999952	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
10		0-back	1.9727455499960342	800.9831942999954	0.0			100.0			1651	2022_Sep_07_2256	M	99	r	MS	Left Face
11	194.0	ScoreReport	0.8187787999995635	768.448195500001			0.7877551020408163		space		1651	2022_Sep_07_2256	M	99	r	MS	Left Face
12	11.0	Post-trial Fixation	5.0102764000039315	769.2830236000009							1651	2022_Sep_07_2256	M	99	r	MS	Left Face
13	42.0	PainBinary	0.804284550002194	774.3256102999949						-1.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
14	40.0	IntensityRating	0.7916277499971329	775.1657833999998						89.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
15	44.0	DistractBinary	0.8029061499983072	775.9928069999951						-1.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
16	12.0	Post-Q-Jitter	5.009615299997677	776.8107242999977							1651	2022_Sep_07_2256	M	99	r	MS	Left Face
17	41.0	ComfortRating	0.8001384500021231	781.8805197999973						13.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
18	39.0	ValenceRating	0.790821650007274	782.7354880999992						-32.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
19	41.0	IntensityRating	0.8012833000029786	783.5713488999972						46.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
20	200.0	AvoidanceRating	0.7881215500019607	784.4439683999954						-30.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
21	201.0	RelaxationRating	0.7921466000043438	785.2910248999979						52.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
22	202.0	AttentionRating	0.795277850003913	786.1470071000003						-90.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
23	203.0	BoredomRating	0.7990802000131225	786.9777755999967						49.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
24	204.0	AlertnessRating	0.7968925000022864	787.8115509999989						-8.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
25	205.0	PosThxRating	0.8026500000050873	788.6496411999979						-85.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
26	206.0	NegThxRating	0.791486950001854	789.5128435000006						-97.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
27	207.0	SelfRating	0.8013014000025578	790.3572338999948						96.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
28	208.0	OtherRating	0.8033694000041578	791.2138878999976						17.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
29	205.0	ImageryRating	0.7939145999989705	792.092968799996						23.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
30	210.0	PresentRating	0.7935168500043801	792.9508917999992						-97.0	1651	2022_Sep_07_2256	M	99	r	MS	Left Face
